"Nº","NOMBRE","PRESENTACIÓN DE ESCRITURA (Art.5°)","REPAROS
A ESCRITURA DE
CONSTITUCIÓN
(Art.5º, inc.3°)","","PARTIDO EN
FORMACIÓN
(Art.5º, inc.4º)","","CADUCIDAD POR NO PRESENTAR AFILIADOS
EN PLAZO LEGAL
(Art.7°)","","INSCRIPCIÓN EN REGISTRO DE PARTIDOS POLÍTICOS
(Art.14º, inc.1º)","","","DISOLUCIÓN
(Art.42º)","PARTIDOS ACTIVOS Y TIEMPO DE VIGENCIA (Hasta 6 de junio de 2024)","TIEMPO DE EXISTENCIA DEL PARTIDO","years","months","days","Meses de vida","Idia","Imes","Iaño","Ddia","Dmes","Dyear","Fecha Inicio","Fecha Disolución"
"25"," PARTIDO SOCIAL DEMÓCRATA DOCTRINARIO","11.04.89","20.11.02","","","","","","","","","","","","","","","0","11","4","1989","11","4","1989","1989/04/11","1989/04/11"
"26"," PARTIDO DE LA TIERRA Y LA IDENTIDAD","11.05.89","20.11.02","","","","","","","","","","","","","","","0","11","5","1989","11","5","1989","1989/05/11","1989/05/11"
"27"," MOVIMIENTO  AL SOCIALISMO","23.05.89","21.03.89","","26.06.89","","29.01.90","","","","","29.01.90","","0 AÑOS, 8 MESES Y 6 DÍAS","0","8","6","8","23","5","1989","29","1","1990","1989/05/23","1990/01/29"
"28"," PARTIDO SOCIALDEMÓCRATA","14.08.89","28.06.89","","24.08.89","","28.03.90","","","","","28.03.90","","0 AÑOS, 7 MESES Y 14 DÍAS","0","7","14","7","14","8","1989","28","3","1990","1989/08/14","1990/03/28"
"29"," MOVIMIENTO ECOLOGISTA INTEGRAL","27.12.89","","","","","","","","","","","","","","","","0","27","12","1989","27","12","1989","1989/12/27","1989/12/27"
"30"," PARTIDO TERCERA REPÚBLICA","24.01.90","13.11.89","","02.02.90","","06.11.90","","","","","06.11.90","","0 AÑOS, 9 MESES Y 11 DÍAS","0","9","11","9","24","1","1990","6","11","1990","1990/01/24","1990/11/06"
"31"," PARTIDO SOLIDARIDAD NACIONAL","13.03.90","06.12.89","","30.03.90","","09.11.90","","","","","09.11.90","","0 AÑOS, 7 MESES Y 22 DÍAS","0","7","22","7","13","3","1990","9","11","1990","1990/03/13","1990/11/09"
"32"," PARTIDO COMUNISTA DE CHILE","26.03.90","13.03.90","","04.04.90","","","","31.12.90","","","28.05.10","","20 AÑOS, 2 MESES Y 2 DÍAS","20","2","2","242","26","3","1990","28","5","2010","1990/03/26","2010/05/28"
"33"," PARTIDO SOCIALISTA DE CHILE (PS)","26.03.90","15.03.90","","30.03.90","","","","19.12.90","","","","34 AÑOS, 2 MESES Y 6 DÍAS","","34","2","6","410","26","3","1990","","","","1990/03/26",""
"34"," PARTIDO MAPU OBRERO CAMPESINO","17.04.90","23.04.90","","","","","","","","","08.06.94","","4 AÑOS, 1 MES Y 20 DÍAS","4","1","20","49","17","4","1990","8","6","1994","1990/04/17","1994/06/08"
"35"," PARTIDO ALIANZA HUMANISTA-VERDE Fusión de Partidos Humanista y Los Verdes","29.05.90","11.05.90","","11.06.90","","","","23.07.90","","","22.08.94","","4 AÑOS, 2 MESES Y 21 DÍAS","4","2","21","50","29","5","1990","22","8","1994","1990/05/29","1994/08/22"
"36"," PARTIDO LIBERAL Es fusión de Partidos del Sur y Liberal","29.05.90","11.05.90","","04.06.90","","","","17.07.90","","","08.06.94","","4 AÑOS, 0 MESES Y 7 DÍAS","4","0","7","48","29","5","1990","8","6","1994","1990/05/29","1994/06/08"
